"id","rule_id","rule_pattern","action","capture","transformations","score","paranoia_level","severity","category","phase","tags","version","chain_level","parent_rule_id","logdata","msg","enabled","multiMatch"
"","941011","1","pass","0","none","0","1","NOTICE","exception","1","TX:DETECTION_PARANOIA_LEVEL,operator:lt,skipAfter:END-REQUEST-941-APPLICATION-ATTACK-XSS,paranoia-level/0","teckglobal_bfp/1.0.0","0","0","Skip 941 XSS rules if PL < 1","PL0 Marker","1","0"
"","941012","1","pass","0","none","0","1","NOTICE","exception","2","TX:DETECTION_PARANOIA_LEVEL,operator:lt,skipAfter:END-REQUEST-941-APPLICATION-ATTACK-XSS,paranoia-level/0","teckglobal_bfp/1.0.0","0","0","Skip 941 XSS rules if PL < 1","PL0 Marker","1","0"
"","941010","20, 45-47, 48-57, 65-90, 95, 97-122","pass","0","none","0","0","NOTICE","attack-xss","1","REQUEST_FILENAME,operator:validateByteRange,attack-xss,paranoia-level/1","teckglobal_bfp/1.0.0","0","0","REQUEST_FILENAME does not contain special characters","Filename Special Character Check","1","0"
"","941100","","block","1","utf8toUnicode,urlDecodeUni,htmlEntityDecode,jsDecode,cssDecode,removeNulls","5","1","CRITICAL","attack-xss","2","REQUEST_COOKIES,REQUEST_COOKIES_NAMES,REQUEST_HEADERS:User-Agent,REQUEST_HEADERS:Referer,ARGS_NAMES,ARGS,REQUEST_FILENAME,XML:/*,operator:detectXSS,paranoia-level/1","teckglobal_bfp/1.0.0","0","0","Matched Data: %{TX.0} found within %{MATCHED_VAR_NAME}: %{MATCHED_VAR}","XSS Attack Detected via libinjection","1","0"
"","941110","(?i)<script[^>]*>[\s\S]*?","block","1","utf8toUnicode,urlDecodeUni,htmlEntityDecode,jsDecode,cssDecode,removeNulls","5","1","CRITICAL","attack-xss","2","REQUEST_COOKIES,REQUEST_COOKIES_NAMES,REQUEST_FILENAME,REQUEST_HEADERS:User-Agent,REQUEST_HEADERS:Referer,ARGS_NAMES,ARGS,XML:/*,operator:rx,paranoia-level/1","teckglobal_bfp/1.0.0","0","0","Matched Data: %{TX.0} found within %{MATCHED_VAR_NAME}: %{MATCHED_VAR}","XSS Filter - Category 1: Script Tag Vector","1","0"
"","941130","(?i)(?:\\b(?:(?:x(?:link:href|html|mlns)|data:text/html|formaction)\\b|pattern[\\s\\x0b]*=)|(?:!ENTITY[\\s\\x0b]+(?:%[\\s\\x0b]+)?[^\\s\\x0b]+[\\s\\x0b]+(?:SYSTEM|PUBLIC)|@import|;base64)\\b)","block","1","utf8toUnicode,urlDecodeUni,htmlEntityDecode,jsDecode,cssDecode,removeNulls","5","1","CRITICAL","attack-xss","2","REQUEST_COOKIES,REQUEST_COOKIES_NAMES,REQUEST_FILENAME,REQUEST_HEADERS:User-Agent,REQUEST_HEADERS:Referer,ARGS_NAMES,ARGS,XML:/*,operator:rx,paranoia-level/1","teckglobal_bfp/1.0.0","0","","Matched Data: %{TX.0} found within %{MATCHED_VAR_NAME}: %{MATCHED_VAR}","XSS Filter - Category 3: Attribute Vector","1","0"
"","941140","(?i)[a-z]+=(?:[^:=]+:.+;)*?[^:=]+:url\(javascript","block","1","none,utf8toUnicode,urlDecodeUni,htmlEntityDecode,jsDecode,cssDecode,removeNulls,removeWhitespace","5","1","CRITICAL","attack-xss","2","REQUEST_COOKIES,REQUEST_COOKIES_NAMES,REQUEST_HEADERS:User-Agent,REQUEST_HEADERS:Referer,ARGS_NAMES,ARGS,REQUEST_FILENAME,XML:/*,operator:rx,attack-xss,paranoia-level/1","teckglobal_bfp/1.0.0","0","0","Matched Data: %{TX.0} found within %{MATCHED_VAR_NAME}: %{MATCHED_VAR}","XSS URL JavaScript Detection","1","0"
"","941170","(?i)(?:\\W|^)(?:javascript:(?:[\\s\\S]+[=/\\(\\[.<]|[\\s\\S]*?(?:\\bname|\\\\x5c[ux]\\d))|data:(?:(?:[a-z]\\w+/\\w[\\w+-]+\\w)?[;]|[\\s\\S]*?;[\\s\\S]*?\\b(?:base64|charset=)|[\\s\\S]*?\\,[\\s\\S]*?<[\\s\\S]*?\\w[\\s\\S]*?>)|@\\W*?i\\W*?m\\W*?p\\W*?o\\W*?r\\W*?t\\W*?(?:/\\*[\\s\\S]*?)?(?:[\\x27\\x22]|\\W*?u\\W*?r\\W*?l[\\s\\S]*?\\()|[^-]*?-\\W*?m\\W*?o\\W*?z\\W*?-\\W*?b\\W*?i\\W*?n\\W*?d\\W*?i\\W*?n\\W*?g[^:]*?:\\W*?u\\W*?r\\W*?l[\\s\\S]*?\\()))","block","1","utf8toUnicode,urlDecodeUni,htmlEntityDecode,jsDecode,cssDecode,removeNulls","5","1","CRITICAL","attack-xss","2","REQUEST_COOKIES,REQUEST_COOKIES_NAMES,REQUEST_FILENAME,REQUEST_HEADERS:User-Agent,REQUEST_HEADERS:Referer,ARGS_NAMES,ARGS,XML:/*,operator:rx,paranoia-level/1","teckglobal_bfp/1.0.0","0","","Matched Data: %{TX.0} found within %{MATCHED_VAR_NAME}: %{MATCHED_VAR}","NoScript XSS InjectionChecker: Attribute Injection","1","0"
"","941180","document.cookie document.domain document.querySelector document.body.appendChild document.write .parentnode .innerhtml window.location -moz-binding <!-- <![cdata[","block","1","none,utf8toUnicode,urlDecodeUni,htmlEntityDecode,jsDecode,cssDecode,removeNulls","5","1","CRITICAL","attack-xss","2","REQUEST_COOKIES,REQUEST_COOKIES_NAMES,ARGS_NAMES,ARGS,REQUEST_FILENAME,XML:/*,operator:pm,attack-xss,paranoia-level/1","teckglobal_bfp/1.0.0","0","0","Matched Data: %{TX.0} found within %{MATCHED_VAR_NAME}: %{MATCHED_VAR}","XSS JavaScript Keyword Detection","1","0"
"","941190","(?i:<style.*?>.*?(?:@[i\x5c]|(?:[:=]|&#x?0*(?:58|3A|61|3D);?).*?(?:[(\x5c]|&#x?0*(?:40|28|92|5C);?)))","block","1","none,utf8toUnicode,urlDecodeUni,htmlEntityDecode,jsDecode,cssDecode,removeNulls","5","1","CRITICAL","attack-xss","2","REQUEST_COOKIES,REQUEST_COOKIES_NAMES,ARGS_NAMES,ARGS,REQUEST_FILENAME,XML:/*,operator:rx,attack-xss,paranoia-level/1","teckglobal_bfp/1.0.0","0","0","Matched Data: %{TX.0} found within %{MATCHED_VAR_NAME}: %{MATCHED_VAR}","XSS Style Tag Detection","1","0"
"","941200","(?i:<.*[:]?vmlframe.*?[\s/+]*?src[\s/+]*=)","block","1","none,utf8toUnicode,urlDecodeUni,htmlEntityDecode,jsDecode,cssDecode,removeNulls","5","1","CRITICAL","attack-xss","2","REQUEST_COOKIES,REQUEST_COOKIES_NAMES,ARGS_NAMES,ARGS,REQUEST_FILENAME,XML:/*,operator:rx,attack-xss,paranoia-level/1","teckglobal_bfp/1.0.0","0","0","Matched Data: %{TX.0} found within %{MATCHED_VAR_NAME}: %{MATCHED_VAR}","XSS VML Frame Detection","1","0"
